Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
12505,The Idiot,Fyodor Dostoevsky,"Dostoevsky, Fyodor","Anna Brailovsky, Joseph Frank, Constance Garnett","=""0679642420""","=""9780679642428""",0,Modern Library,Paperback,667,2003,1869,,2026/07/09,to-read,to-read (#64),to-read,,,,0,0
75665931,The Maniac,Benjamín Labatut,"Labatut, Benjamín",,"=""0593654471""","=""9780593654477""",0,Penguin Press,Hardcover,368,2023,2023,,2026/07/04,to-read,to-read (#63),to-read,,,,0,0
375013,Schindler’s List,Thomas Keneally,"Keneally, Thomas",,"=""0340606517""","=""9780340606513""",0,Sceptre,Mass Market Paperback,429,1994,1982,,2026/07/02,to-read,to-read (#62),to-read,,,,0,0
13507212,"Bring Up the Bodies (Thomas Cromwell, #2)",Hilary Mantel,"Mantel, Hilary",,"=""""","=""""",5.0,"Henry Holt & Company, Inc.",Hardcover,412,2012,2012,2026/07/02,2022/09/23,,,read,,,,1,0
12158480,"Why Nations Fail: The Origins of Power, Prosperity, and Poverty",Daron Acemoğlu,"Acemoğlu, Daron",James A. Robinson,"=""0307719219""","=""9780307719218""",0,Crown Currency,Hardcover,529,2012,2012,,2024/11/25,did-not-finish,did-not-finish (#1),did-not-finish,,,,1,0
223856261,Conjuring the Void: The Art of Black Holes,Lynn Gamwell,"Gamwell, Lynn",Neil deGrasse Tyson,"=""0262049961""","=""9780262049962""",0,The MIT Press,Hardcover,208,2025,,,2026/06/24,to-read,to-read (#61),to-read,,,,0,0
248276109,The Social Contract,Jean-Jacques Rousseau,"Rousseau, Jean-Jacques","Maurice Cranston, Chuck Allen","=""""","=""""",0,Booktime Publishing,Audible Audio,,2026,1762,,2026/06/20,to-read,to-read (#60),to-read,,,,0,0
60321392,The Song of the Cell: An Exploration of Medicine and the New Human,Siddhartha Mukherjee,"Mukherjee, Siddhartha",,"=""1982117354""","=""9781982117351""",4.0,Scribner,Hardcover,473,2022,2022,2026/06/15,2026/05/31,,,read,"_The Song of the Cell_<br/><br/>Another dive into the discoveries of and in cell biology by Siddhartha Mukherjee.  Perhaps a gentler read than his introduction to cancer biology.<br/><br/>Just as atoms are the basic units of matter, the cell is the unit of all living things. Every process of life, normal and malignant, can be understood through the behaviour of cells. We have encountered this idea in school, but rarely did we pause to appreciate the enigma of it. How a cell forms tissue, tissue forms organs, and organs form a system so precise in its roles, rules, and responses that every act of being alive is, on reflection, nothing short of wonder.<br/><br/>Mukherjee begins with Leeuwenhoek’s first observation of cells, then moves through the competing theories of how cells were thought to function, grounding each leap in the experimental evidence and the details of the setups that made the next understanding possible.<br/><br/>From there, the book traces cell modification and gene therapy all the way to IVF,  the birth of the first test-tube baby, the decades of research behind it, and the scientific, political, and religious undercurrents that surrounded the invention. Then further still, to gene-editing technologies and He Jiankui, the Chinese researcher who in 2018 announced the birth of the first gene-edited babies. I remember reading about his subsequent arrest in the papers. That episode illuminated just how much ethical, moral, and scientific transparency matters and how its absence made the development of global protocols not just necessary, but urgent.<br/><br/>We also learn about the discovery of insulin, a Nobel-winning breakthrough, awarded to Frederick Banting and John Macleod in 1923. Banting, feeling his research assistant Charles Best deserved equal credit, shared his prize money with him. <br/>Moving to Shinya Yamanaka’s landmark discovery, that earned him the Nobel Prize in Physiology or Medicine in 2012. The reversal of any cell back to its stem cell state, a kind of biological time warp. A divided, specialised cell walked backwards, reprogrammed into virtually any cell of choice. It is a finding that upended one of transplantation’s oldest and most brutal problems: histoincompatibility. The immune system is exquisitely tuned to recognise self from non-self, and for decades that precision worked against us donor organs attacked and destroyed by the very body they were meant to save. The ability to reprogramme a patient’s own cells sidesteps that rejection entirely, and remains quietly extraordinary.<br/><br/>The book closes on cancer, and on why it is no longer enough to study cells in isolation. Context matters: what surrounds a cell, what signals it receives, what position it holds. It raises questions like why, despite the liver and spleen sitting in close proximity,  cancer metastasis appears in the liver but almost never in the spleen.<br/><br/>So much remains to be understood. What we do know has come from decades of disciplined, painstaking work by researchers, doctors, nurses, and patients each contributing to a collective effort to understand something as fundamental as ourselves. Without that drive to study the basic unit of life, there would be no treatments, no vaccines, nothing.<br/><br/>PS: If The Emperor of All Maladies is where you want to arrive, this book offers the better starting point. Cells first.",,,1,0
17490,The Faraway Tree Stories (The Faraway Tree #1-3),Enid Blyton,"Blyton, Enid",,"=""1405201711""","=""9781405201711""",5.0,Egmont Books,Paperback,583,2002,1991,,2026/06/08,,,read,,,,1,0
17836100,The Carpet People,Terry Pratchett,"Pratchett, Terry",,"=""0544212479""","=""9780544212473""",5.0,Clarion Books,Hardcover,296,2013,1992,,2026/06/08,,,read,,,,1,0
22522805,The Buried Giant,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""030727103X""","=""9780307271037""",4.0,Alfred A. Knopf,Hardcover,317,2015,2015,2023/06/21,2023/06/10,,,read,,,,1,0
1885,Pride and Prejudice,Jane Austen,"Austen, Jane",Anna Quindlen,"=""1441341706""","=""9781441341709""",5.0,Modern Library,Paperback,279,2023,1813,,2023/12/15,,,read,,,,1,0
48855,The Diary of a Young Girl,Anne Frank,"Frank, Anne","Eleanor Roosevelt, Susan Massotty, Γιάννης Θωμόπουλος, Barbara Mooyaart-Doubleday, Otto H. Frank, Mirjam Pressler","=""""","=""""",5.0,Bantam,Mass Market Paperback,283,1993,1947,,2024/01/12,,,read,,,,1,0
24583,The Adventures of Tom Sawyer,Mark Twain,"Twain, Mark","Guy Cardwell, John Seelye, Mark Hallaq, Amanda Lee","=""""","=""9780143039563""",3.0,Penguin Classics,Paperback,244,2006,1876,,2024/01/12,,,read,,,,1,0
77265004,The Iliad,Homer,"Homer, Homer",Emily Wilson,"=""1324001801""","=""9781324001805""",4.0,W. W. Norton & Company,Hardcover,848,2023,-750,,2024/01/12,,,read,,,,1,0
295,Treasure Island,Robert Louis Stevenson,"Stevenson, Robert Louis",Newell Convers Wyeth,"=""0753453800""","=""9780753453803""",4.0,Kingfisher,Hardcover,352,2001,1882,,2024/01/12,,,read,,,,1,0
8695,"The Restaurant at the End of the Universe (The Hitchhiker's Guide to the Galaxy, #2)",Douglas Adams,"Adams, Douglas",,"=""""","=""""",5.0,Del Rey,Paperback,250,2005,1980,,2024/08/15,,,read,,,,1,0
8694,"Life, the Universe and Everything (The Hitchhiker's Guide to the Galaxy, #3)",Douglas Adams,"Adams, Douglas",,"=""0345418905""","=""9780345418906""",5.0,Random House Worlds,Paperback,224,1997,1982,,2024/08/15,,,read,,,,1,0
205544315,Heart Lamp: Selected Stories,Banu Mushtaq,"Mushtaq, Banu",Deepa Bhasthi,"=""1916751164""","=""9781916751163""",4.0,And Other Stories,Paperback,215,2025,2024,2025/08/09,2025/08/08,,,read,"_Heart Lamp_<br/><br/><br/>“If you were to build the world again, to create males and females again, do not be like an inexperienced potter. Come to earth as a woman, Prabhu!<br/>Be a woman once, oh Lord!” #banumushtaq<br/><br/>Banu Mushtaq’s #heartlamp won the 2025 booker prize. Her  12 stories are not of empowered women but of the quiet strength of women. The kind of strength not demanding to be witnessed or felt.  Mushtaq’s women linger, refusing closure, leaving behind the weight of unresolved justice.<br/><br/>Even though the stories are grounded in a specific religion and community, the theme is universal. Violence, silence, survival and grief are after all universal. Translated by #deepabhasti, the discomfort is not smoothed over, rather the tension is felt by the reader. ",,,1,0
17262100,The Lowland,Jhumpa Lahiri,"Lahiri, Jhumpa",,"=""0307265749""","=""9780307265746""",4.0,Knopf,Hardcover,340,2013,2013,2026/02/25,2026/02/24,,,read,"_The Lowland_<br/><br/>Set against the  backdrop of the 1960s Naxalite movement in Calcutta, The Lowland traces the lives of two brothers whose childhood closeness slowly gives way to distance shaped by choice, conviction, and circumstance.<br/><br/>Once inseparable, their paths diverge sharply in early adulthood. Yet the quiet gravity of family has its own pull, drawing their lives back into one another in ways that are complicated, fragile, and enduring. Each must live with the weight of what was chosen and what was left behind.<br/><br/>Lahiri writes about life not as tragedy, but as it unfolds: restrained, intimate, and deeply human. Her prose moves with a quiet poetry tinged with a gentle melancholy.<br/>",,,1,0
